"id","municipality_name","yes2010","yes2014","yes2016"
75604001204,"Bauen",62.9,64.4,51.5
75604001205,"Bürglen (UR)",65.7,63.7,54.4
75604001206,"Erstfeld",61.8,59.8,51.9
75604001207,"Flüelen",60.9,57.6,52.5
75604001208,"Göschenen",73,65.6,58.5
75604001209,"Gurtnellen",66.5,62.2,58.6
75604001210,"Hospental",63.9,50,52.9
75604001211,"Isenthal",57.9,54.8,51.3
75604001212,"Realp",57.6,47.3,41.9
75604001213,"Schattdorf",65.5,61.3,53.4
75604001214,"Seedorf (UR)",63.5,63.5,54.2
75604001215,"Seelisberg",54.9,63,52.9
75604001216,"Silenen",70.6,67.7,62.6
75604001217,"Sisikon",67.3,65,52.6
75604001218,"Spiringen",76.9,78.6,77.4
75604001219,"Unterschächen",83.8,84.9,76.1
75604001220,"Wassen",75.6,69.5,63
75604009040,"UR-Ausland-CH",45.9,34.3,42.8
75605011301,"Einsiedeln",65.8,63.9,53
75605021311,"Gersau",61.9,57.5,46.9
75605031321,"Feusisberg",66.9,60.2,54.6
75605031322,"Freienbach",63.3,58.1,49.8
75605031323,"Wollerau",61.1,56.4,50.4
75605041331,"Küssnacht (SZ)",60.3,55.7,46
75605051341,"Altendorf",61.8,64.1,53.1
75605051342,"Galgenen",71.5,68.3,57.5
75605051343,"Innerthal",73.7,76.5,64.5
75605051344,"Lachen",56.2,56.8,45.2
75605051345,"Reichenburg",71.9,70.9,62.7
75605051346,"Schübelbach",72.3,69.3,58.8
75605051347,"Tuggen",74,72.3,62.5
75605051348,"Vorderthal",87.8,85.4,81.2
75605051349,"Wangen (SZ)",70.3,66.4,55.5
75605061361,"Alpthal",87.9,86.4,81.1
75605061362,"Arth",65.7,60.7,50.7
75605061363,"Illgau",78.7,78.4,58.9
75605061364,"Ingenbohl",59.4,56.1,47.3
75605061365,"Lauerz",77.4,70.4,62.3
75605061366,"Morschach",65.5,64.4,62.6
75605061367,"Muotathal",83.6,77.9,75.8
75605061368,"Oberiberg",76.3,67.3,64.3
75605061369,"Riemenstalden",84,71.1,71.4
75605061370,"Rothenthurm",84.1,78.4,72.6
75605061371,"Sattel",73.8,70.1,64.2
75605061372,"Schwyz",63.3,60,49.5
75605061373,"Steinen",68.3,65.1,57.5
75605061374,"Steinerberg",75.5,75.5,65.6
75605061375,"Unteriberg",89.8,87.7,81.3
75606001401,"Alpnach",62.3,60,52.7
75606001402,"Engelberg",59.2,57.6,50.9
75606001403,"Giswil",62.5,61.6,58.6
75606001404,"Kerns",66.4,65.9,60
75606001405,"Lungern",59.3,59.5,50.4
75606001406,"Sachseln",56.6,55.1,48.7
75606001407,"Sarnen",57.6,56.3,49.1
75607001501,"Beckenried",65.2,64,54
75607001502,"Buochs",60.7,58.8,49.6
75607001503,"Dallenwil",65.9,67.7,58.6
75607001504,"Emmetten",71.1,69.5,66.1
75607001505,"Ennetbürgen",58,55.4,50.6
75607001506,"Ennetmoos",67.7,66.3,60.1
75607001507,"Hergiswil (NW)",61.1,57.8,49.6
75607001508,"Oberdorf (NW)",65.1,62.9,51.7
75607001509,"Stans",50.9,49.9,41.5
75607001510,"Stansstad",61,59.3,51.7
75607001511,"Wolfenschiessen",70.7,67.7,57.2
75609001701,"Baar",55.9,50.6,43
75609001702,"Cham",55.6,49.7,41.6
75609001703,"Hünenberg",51.1,46,40
75609001704,"Menzingen",57.6,55.1,47.3
75609001705,"Neuheim",62.3,57.7,53.4
75609001706,"Oberägeri",64.7,59.8,54
75609001707,"Risch",61.6,56.4,47.7
75609001708,"Steinhausen",51.8,47.3,38.6
75609001709,"Unterägeri",63.5,56.7,50.5
75609001710,"Walchwil",61.6,57.5,51
75609001711,"Zug",48.1,43.1,35.8
75610012004,"Bussy (FR)",64.8,56.5,56
75610012005,"Châbles",52.3,52.7,43.9
75610012008,"Châtillon (FR)",37.9,45,43.2
75610012009,"Cheiry",63.7,68,52.9
75610012010,"Cheyres",46.4,50,44.6
75610012011,"Cugy (FR)",53.6,56,49.2
75610012015,"Estavayer-le-Lac",50.9,47,42
75610012016,"Fétigny",54,54.9,47.8
75610012022,"Gletterens",59.5,61,52.3
75610012025,"Lully (FR)",61.4,62.6,50.1
75610012027,"Ménières",66.7,59.2,51.5
75610012029,"Montagny (FR)",53.1,53,49.6
75610012033,"Morens (FR)",81.8,76.7,57.3
75610012034,"Murist",57.7,50.2,46.2
75610012035,"Nuvilly",60.6,57.6,56.7
75610012038,"Prévondavaux",62.5,56.3,66.7
75610012039,"Rueyres-les-Prés",59.8,56.3,44.9
75610012041,"Saint-Aubin (FR)",52.3,50.2,46.7
75610012043,"Sévaz",58.5,50,52.2
75610012044,"Surpierre",68.2,70.4,56.8
75610012045,"Vallon",55.6,53.8,41.2
75610012047,"Villeneuve (FR)",59.8,51,52.2
75610012049,"Vuissens",54.4,61.2,58.3
75610012050,"Les Montets",62.8,61.2,57.5
75610012051,"Delley-Portalban",58.3,57.8,51.6
75610012052,"Vernay",58.2,53.6,46.3
75610022061,"Auboranges",68.1,60.9,54.7
75610022063,"Billens-Hennens",57.9,55.9,48.6
75610022066,"Chapelle (Glâne)",54.9,50.5,50.4
75610022067,"Le Châtelard",68.7,59.2,60.4
75610022068,"Châtonnaye",40.1,48.6,40.7
75610022072,"Ecublens (FR)",53.1,52,50.6
75610022079,"Grangettes",76.4,57,64.6
75610022086,"Massonnens",50,56.2,51.3
75610022087,"Mézières (FR)",46.2,62.9,45.5
75610022089,"Montet (Glâne)",57.4,60.6,47.1
75610022096,"Romont (FR)",47.4,45.7,39.9
75610022097,"Rue",51.9,51.9,45.8
75610022099,"Siviriez",51.7,56.7,48.6
75610022102,"Ursy",53.2,55.1,52
75610022111,"Villaz-Saint-Pierre",42.7,47.2,51.1
75610022113,"Vuisternens-devant-Romont",58.7,60.3,54
75610022114,"Villorsonnens",64.4,65,55.1
75610022115,"Torny",52,52.1,46.7
75610022116,"La Folliaz",45.5,45.8,42.2
75610032121,"Haut-Intyamon",53,49.2,44.3
75610032122,"Pont-en-Ogoz",44.5,51.3,42.5
75610032123,"Botterens",65.1,60.6,53.3
75610032124,"Broc",48.7,50.8,42.1
75610032125,"Bulle",45.4,47.3,37.8
75610032128,"Châtel-sur-Montsalvens",54.7,51,45.8
75610032129,"Corbières",61.3,55.4,45
75610032130,"Crésuz",52.5,53.6,48.9
75610032131,"Echarlens",43.7,42.4,41
75610032134,"Grandvillard",49,54,40.1
75610032135,"Gruyères",47.6,45.3,39.2
75610032137,"Hauteville",51.6,52.6,46.9
75610032138,"Jaun",77.4,76.6,70.7
75610032140,"Marsens",43.6,49.9,36.2
75610032143,"Morlon",48.1,49.8,48.3
75610032145,"Le Pâquier (FR)",44.7,47.5,41.1
75610032147,"Pont-la-Ville",50.3,55.1,55.1
75610032148,"Riaz",51.4,52.2,40.4
75610032149,"La Roche",60.6,61.9,56.8
75610032152,"Sâles",48.7,51.4,42.2
75610032153,"Sorens",56.7,53.8,48.6
75610032155,"Vaulruz",54.2,54.6,43.5
75610032160,"Vuadens",53.9,54.9,47
75610032162,"Bas-Intyamon",51,54.8,45.2
75610042171,"Arconciel",35.8,41.1,36.2
75610042173,"Autigny",47.5,48.6,41.4
75610042174,"Avry",39.9,40.2,36.4
75610042175,"Belfaux",42.3,41,38
75610042177,"Chénens",52.7,51.1,47.6
75610042179,"Chésopelloz",46.2,54.3,38.9
75610042183,"Corminboeuf",35.1,37.8,32.6
75610042185,"Corserey",52,51.7,47
75610042186,"Cottens (FR)",48.2,45.8,39.3
75610042189,"Ependes (FR)",48.3,47.1,38.4
75610042194,"Ferpicloz",56.3,50,48.4
75610042196,"Fribourg",33.8,34.4,24.5
75610042197,"Givisiez",41.2,42.6,36.9
75610042198,"Granges-Paccot",46,45.6,37.2
75610042200,"Grolley",44.6,53.6,44.8
75610042206,"Marly",42.5,42.1,31.7
75610042208,"Matran",39.6,41.9,33.8
75610042211,"Neyruz (FR)",37.2,39.3,31.4
75610042213,"Noréaz",49.7,40.4,38.1
75610042216,"Pierrafortscha",40.6,51.7,38
75610042217,"Ponthaux",42.4,49.4,40.3
75610042220,"Le Mouret",56,57.5,48.6
75610042221,"Prez-vers-Noréaz",44.8,48.4,43.2
75610042225,"Senèdes",48.3,52.8,44
75610042226,"Treyvaux",48.3,47.6,46
75610042228,"Villars-sur-Glâne",34.7,34.3,26.4
75610042230,"Villarsel-sur-Marly",25.8,26.7,27
75610042233,"Hauterive (FR)",44.2,43,40.3
75610042234,"La Brillaz",43.6,42.4,38.8
75610042235,"La Sonnaz",41.5,47,38.7
75610052243,"Barberêche",45.9,45,42.8
75610052250,"Courgevaux",54.7,48.3,37.5
75610052254,"Courtepin",48.3,51.9,45
75610052257,"Cressier (FR)",43.4,39.3,37
75610052258,"Fräschels",60.5,55.9,48.2
75610052259,"Galmiz",64.7,58.7,50.8
75610052260,"Gempenach",70.8,60.2,62.9
75610052261,"Greng",64.7,59.3,43.9
75610052262,"Gurmels",59.3,56.8,46.7
75610052265,"Kerzers",56.4,50.3,42.4
75610052266,"Kleinbösingen",66.1,59.1,50.7
75610052271,"Meyriez",49.3,43.1,37.3
75610052272,"Misery-Courtion",51.9,58.1,45.8
75610052274,"Muntelier",42.2,39,24.3
75610052275,"Murten",45.5,45.5,35.1
75610052276,"Ried bei Kerzers",65.6,55.8,49.6
75610052278,"Ulmiz",69,63.8,57.7
75610052279,"Villarepos",53.5,60.7,49.8
75610052283,"Wallenried",64.9,55.8,46
75610062291,"Alterswil",60.4,62.7,47.9
75610062292,"Brünisried",71.6,66,57.2
75610062293,"Düdingen",53.4,51.3,39.6
75610062294,"Giffers",66,65.8,55.2
75610062295,"Bösingen",54.6,52.7,38.5
75610062296,"Heitenried",52.7,56.2,44.9
75610062298,"Oberschrot",61.7,60.7,54.5
75610062299,"Plaffeien",73.4,69,61.7
75610062300,"Plasselb",78.5,78.4,68.4
75610062301,"Rechthalten",65.5,62.2,56.3
75610062302,"St. Antoni",58.2,61,49.8
75610062303,"St. Silvester",71.8,71.4,66.5
75610062304,"St. Ursen",49.5,52.3,46.2
75610062305,"Schmitten (FR)",51.6,50.2,38.4
75610062306,"Tafers",47.6,48.7,38.5
75610062307,"Tentlingen",57.8,63.8,48.4
75610062308,"Ueberstorf",60,58.6,51.2
75610062309,"Wünnewil-Flamatt",54.3,53.6,39.3
75610062310,"Zumholz",63.2,62.4,60.6
75610072321,"Attalens",44.7,41.2,39.8
75610072323,"Bossonnens",44.7,46.4,40.8
75610072325,"Châtel-Saint-Denis",54.8,49.8,43.8
75610072328,"Granges (Veveyse)",40,41.4,38.5
75610072333,"Remaufens",46.4,49.6,39.9
75610072335,"Saint-Martin (FR)",45.3,48.7,37
75610072336,"Semsales",56.2,56.7,58
75610072337,"Le Flon",51.2,51.5,50.5
75610072338,"La Verrerie",48.7,53.1,50.6
75611012401,"Egerkingen",66.7,60.3,52.9
75611012402,"Härkingen",63.5,63.4,56.2
75611012403,"Kestenholz",57.3,51.5,44.7
75611012404,"Neuendorf",69.3,61.6,52.1
75611012405,"Niederbuchsiten",71.1,69,61.8
75611012406,"Oberbuchsiten",66.3,60.4,51.5
75611012407,"Oensingen",66.9,62.8,49.9
75611012408,"Wolfwil",62.5,58.8,49.8
75611022421,"Aedermannsdorf",59.8,61.8,50.5
75611022422,"Balsthal",62.6,62.6,48.2
75611022423,"Gänsbrunnen",68.8,75,56.9
75611022424,"Herbetswil",68.1,62.8,52.9
75611022425,"Holderbank (SO)",74,66.4,57.5
75611022426,"Laupersdorf",69.2,66.5,52.8
75611022427,"Matzendorf",71.2,68.2,59.5
75611022428,"Mümliswil-Ramiswil",73.3,70.5,61
75611022429,"Welschenrohr",67.4,61.5,49.4
75611032445,"Biezwil",69.9,54.2,50
75611032455,"Lüterkofen-Ichertswil",52.9,51.7,40.8
75611032456,"Lüterswil-Gächliwil",60.5,59,47.2
75611032457,"Messen",63.4,60.2,48
75611032461,"Schnottwil",56,54.8,51.3
75611032463,"Unterramsern",54.6,52,44.9
75611042471,"Bättwil",55.8,54.4,39
75611042472,"Büren (SO)",62,52.3,49.6
75611042473,"Dornach",42,42.1,32
75611042474,"Gempen",49.2,52.2,41.2
75611042475,"Hochwald",53.8,46.5,40.4
75611042476,"Hofstetten-Flüh",51.7,47.4,42.4
75611042477,"Metzerlen-Mariastein",60.1,56.4,48.2
75611042478,"Nuglar-St. Pantaleon",59.1,55.7,44.7
75611042479,"Rodersdorf",45,39,33.6
75611042480,"Seewen",62.8,58.5,49.8
75611042481,"Witterswil",51.3,50.8,41.4
75611052491,"Hauenstein-Ifenthal",48,48.7,42
75611052492,"Kienberg",65.2,66.9,51
75611052493,"Lostorf",58.1,54.8,45.2
75611052495,"Niedergösgen",66.3,61,49.2
75611052497,"Obergösgen",59.6,59,49.2
75611052498,"Rohr (SO)",65.7,55.8,52.9
75611052499,"Stüsslingen",61,58,46.4
75611052500,"Trimbach",56.7,52.8,41.7
75611052501,"Winznau",57.1,56.6,44.1
75611052502,"Wisen (SO)",48.9,40.9,36
75611052503,"Erlinsbach (SO)",53.8,55.3,40.1
75611062511,"Aeschi (SO)",57.4,56.2,45
75611062513,"Biberist",56.3,51,40
75611062514,"Bolken",62.5,55.6,44.3
75611062516,"Deitingen",61.7,54.1,43.4
75611062517,"Derendingen",60.6,58.8,44.6
75611062518,"Etziken",65.5,63.1,56.1
75611062519,"Gerlafingen",63.7,63.3,44.7
75611062520,"Halten",57.9,56.2,41.3
75611062523,"Horriwil",61.8,63.1,47.6
75611062524,"Hüniken",46.8,46.3,47.4
75611062525,"Kriegstetten",61.5,58.8,49.9
75611062526,"Lohn-Ammannsegg",51.7,47.1,39.8
75611062527,"Luterbach",62.1,56.1,44.7
75611062528,"Obergerlafingen",66.8,65.2,53.5
75611062529,"Oekingen",64.8,55.1,44.1
75611062530,"Recherswil",64,62.5,50.6
75611062532,"Subingen",63.6,61.6,45.7
75611062534,"Zuchwil",58.9,51.7,39.2
75611072541,"Balm bei Günsberg",63.5,62,59.8
75611072542,"Bellach",63.5,59.6,46.8
75611072543,"Bettlach",65.2,61.9,50.1
75611072544,"Feldbrunnen-St. Niklaus",47.2,41.5,31.4
75611072545,"Flumenthal",65.4,67.6,50.3
75611072546,"Grenchen",66.2,61.4,48.3
75611072547,"Günsberg",62.1,63.4,52.3
75611072548,"Hubersdorf",58.1,53.1,37.8
75611072549,"Kammersrohr",59.1,47.1,26.1
75611072550,"Langendorf",49,46.2,31.6
75611072551,"Lommiswil",56.3,50.5,41.1
75611072553,"Oberdorf (SO)",50.5,43.9,35.6
75611072554,"Riedholz",51.5,53.9,40.7
75611072555,"Rüttenen",51.4,50.3,35.9
75611072556,"Selzach",66.5,64.1,50.9
75611082571,"Boningen",70.6,63.6,56.1
75611082572,"Däniken",65.8,65.2,52.3
75611082573,"Dulliken",63.9,57.1,46.7
75611082574,"Eppenberg-Wöschnau",61.4,69.2,55.4
75611082575,"Fulenbach",56.6,59.8,48.5
75611082576,"Gretzenbach",59.1,56,48.4
75611082578,"Gunzgen",69.1,61.9,58.6
75611082579,"Hägendorf",65.5,59.1,48.3
75611082580,"Kappel (SO)",61.6,54.8,43.5
75611082581,"Olten",47.3,41.6,28.9
75611082582,"Rickenbach (SO)",66.6,56.2,51.8
75611082583,"Schönenwerd",57.4,57.3,40.1
75611082584,"Starrkirch-Wil",47.6,43.1,30.1
75611082585,"Walterswil (SO)",71.2,69.7,60.1
75611082586,"Wangen bei Olten",55.4,51.2,38.1
75611092601,"Solothurn",37.3,34.5,23.7
75611102611,"Bärschwil",74.7,65.3,51.5
75611102612,"Beinwil (SO)",53.4,62.5,48.5
75611102613,"Breitenbach",64.6,64.9,48.6
75611102614,"Büsserach",67.3,64.7,51.7
75611102615,"Erschwil",65.1,64.7,51.5
75611102616,"Fehren",72.1,65.4,53.4
75611102617,"Grindel",73.9,69,60.5
75611102618,"Himmelried",55,53.8,45
75611102619,"Kleinlützel",58.9,59,49.7
75611102620,"Meltingen",64.4,66.8,45.4
75611102621,"Nunningen",65.9,61.1,55.5
75611102622,"Zullwil",68,67.2,58.1
75612002701,"Basel",42.9,38.7,28.7
75612002702,"Bettingen",47.4,42.2,35.8
75612002703,"Riehen",48.1,44.1,37.2
75612009120,"BS-Ausland-CH",36.8,28.4,29.8
75613012761,"Aesch (BL)",54.6,49.8,41.8
75613012762,"Allschwil",52,49.9,38.6
75613012763,"Arlesheim",40.3,36.5,27.7
75613012764,"Biel-Benken",49.3,47.4,39.6
75613012765,"Binningen",47,43.3,33.6
75613012766,"Birsfelden",54.3,54.4,39.4
75613012767,"Bottmingen",44.8,43.3,34.9
75613012768,"Ettingen",52,50.7,41.8
75613012769,"Münchenstein",49.4,47.4,35.6
75613012770,"Muttenz",51.5,50.4,38.1
75613012771,"Oberwil (BL)",46.8,44.8,35
75613012772,"Pfeffingen",55.3,50.9,44.6
75613012773,"Reinach (BL)",53.7,50,41.5
75613012774,"Schönenbuch",55.2,49.1,41.3
75613012775,"Therwil",50.3,48.7,38.9
75613022781,"Blauen",60.3,55.6,51.3
75613022782,"Brislach",74.1,67.5,60.9
75613022783,"Burg im Leimental",51.9,59.3,44.7
75613022784,"Dittingen",61.3,56.7,47
75613022785,"Duggingen",55.5,54.7,45.3
75613022786,"Grellingen",55.4,60.4,44.7
75613022787,"Laufen",54.1,50.3,41
75613022788,"Liesberg",66.6,70.8,61.3
75613022789,"Nenzlingen",69.2,67.3,61.7
75613022790,"Roggenburg",76.7,69.2,66.9
75613022791,"Röschenz",63.6,64.7,52
75613022792,"Wahlen",70.6,65.3,59.2
75613022793,"Zwingen",61.9,60.3,45.3
75613032821,"Arisdorf",68.4,58.2,51.4
75613032822,"Augst",56,56.7,48.3
75613032823,"Bubendorf",55.5,46.3,40.2
75613032824,"Frenkendorf",55.2,52.9,41.4
75613032825,"Füllinsdorf",56,53.4,42.4
75613032826,"Giebenach",64.2,66.3,58.7
75613032827,"Hersberg",58.9,67.2,49.4
75613032828,"Lausen",60,53.2,44.3
75613032829,"Liestal",47.8,44.4,31.9
75613032830,"Lupsingen",54.3,46.9,40
75613032831,"Pratteln",53.5,51.3,40.7
75613032832,"Ramlinsburg",50.4,45.7,37.2
75613032833,"Seltisberg",52.9,48,38.2
75613032834,"Ziefen",53.1,48,37.9
75613042841,"Anwil",64.7,57.4,46.6
75613042842,"Böckten",59,58.3,46.2
75613042843,"Buckten",58.3,59.4,44.8
75613042844,"Buus",70.6,64.5,54.5
75613042845,"Diepflingen",66.7,63.5,54.2
75613042846,"Gelterkinden",52.1,48.4,36.6
75613042847,"Häfelfingen",65.5,67.2,46.1
75613042848,"Hemmiken",67,66.7,60.4
75613042849,"Itingen",58.1,55.8,42.9
75613042850,"Känerkinden",58.4,54.9,49
75613042851,"Kilchberg (BL)",61.9,56,35.7
75613042852,"Läufelfingen",66.1,60.9,44.9
75613042853,"Maisprach",52.5,54.1,43
75613042854,"Nusshof",58.3,50,44.5
75613042855,"Oltingen",47.4,51.9,39.2
75613042856,"Ormalingen",61.1,55.6,45.8
75613042857,"Rickenbach (BL)",59.1,59.8,43.9
75613042858,"Rothenfluh",62.9,54.7,44.1
75613042859,"Rümlingen",68.2,64.3,60.4
75613042860,"Rünenberg",56.4,57.8,43.8
75613042861,"Sissach",52.3,47.8,35.3
75613042862,"Tecknau",67.9,61.1,48.3
75613042863,"Tenniken",56.3,51.7,41.1
75613042864,"Thürnen",71.2,65.3,51
75613042865,"Wenslingen",62,59.2,41.6
75613042866,"Wintersingen",62.8,58.8,48.2
75613042867,"Wittinsburg",66.7,63.1,44.4
75613042868,"Zeglingen",54.3,52.5,41.4
75613042869,"Zunzgen",63.2,58.8,48.2
75613052881,"Arboldswil",62,61.7,55.2
75613052882,"Bennwil",69.8,64.5,58.2
75613052883,"Bretzwil",78,72.5,60.7
75613052884,"Diegten",71,65.7,53.9
75613052885,"Eptingen",67.6,66.5,55.2
75613052886,"Hölstein",56.8,51.7,40.5
75613052887,"Lampenberg",62.7,56.6,47.7
75613052888,"Langenbruck",58,56.9,46
75613052889,"Lauwil",58.5,51.3,52.1
75613052890,"Liedertswil",78.8,75.6,63.6
75613052891,"Niederdorf",64.8,62.9,50.2
75613052892,"Oberdorf (BL)",62.6,59,43.7
75613052893,"Reigoldswil",59.2,60,40.8
75613052894,"Titterten",56.8,49.5,42.3
75613052895,"Waldenburg",61.3,62.5,57.1
75614012901,"Gächlingen",59.2,63.1,54.8
75614012903,"Löhningen",62.1,63,49.5
75614012904,"Neunkirch",56.1,56.8,45.2
75614022914,"Büttenhardt",59.7,65.3,52.6
75614022915,"Dörflingen",60.9,74.3,54.8
75614022917,"Lohn (SH)",66.3,71.9,56.5
75614022919,"Stetten (SH)",55.8,53.1,43.1
75614022920,"Thayngen",64.3,66.3,54.3
75614032931,"Bargen (SH)",75.2,79.7,65.4
75614032932,"Beringen",60.4,63.1,50.8
75614032933,"Buchberg",61.8,60.5,50.5
75614032936,"Merishausen",70.4,69.4,55.5
75614032937,"Neuhausen am Rheinfall",59.4,60.3,44.9
75614032938,"Rüdlingen",58.2,60.7,50.3
75614032939,"Schaffhausen",50,51.2,37.9
75614042951,"Beggingen",68.5,76.4,67.2
75614042952,"Schleitheim",63.3,66.5,53.5
75614042953,"Siblingen",58,60.9,46.6
75614052961,"Buch (SH)",65.2,72.7,65.6
75614052962,"Hemishofen",62.2,69.6,51.7
75614052963,"Ramsen",67.8,70,58.5
75614052964,"Stein am Rhein",55.5,54.3,43.7
75614062971,"Hallau",64.7,67.6,52.4
75614062972,"Oberhallau",68.8,74.8,63.5
75614062973,"Trasadingen",61.1,68.9,58
75614062974,"Wilchingen",60.8,62.9,51.1
75615013001,"Herisau",55.9,54.4,43.6
75615013002,"Hundwil",73.7,72.6,62.6
75615013003,"Schönengrund",69.6,80.3,64.4
75615013004,"Schwellbrunn",69.3,71,63.3
75615013005,"Stein (AR)",58.9,60.5,50.1
75615013006,"Urnäsch",69,65.6,60.5
75615013007,"Waldstatt",61.7,61.3,52.7
75615023021,"Bühler",61.5,61.7,52.3
75615023022,"Gais",54.7,52.5,41
75615023023,"Speicher",46.7,48,36.8
75615023024,"Teufen (AR)",52.1,46,38.5
75615023025,"Trogen",35.8,36.3,27.6
75615033031,"Grub (AR)",57,58,48.9
75615033032,"Heiden",56.3,53.3,43.3
75615033033,"Lutzenberg",69.5,66.7,56.8
75615033034,"Rehetobel",45.1,45.8,36.8
75615033035,"Reute (AR)",56.2,62.6,51.8
75615033036,"Wald (AR)",58.3,50.3,45.3
75615033037,"Walzenhausen",61.8,62.5,49.9
75615033038,"Wolfhalden",63.5,60.7,46.9
75616003101,"Appenzell",60.8,59.7,48.9
75616003102,"Gonten",71.5,72,65.3
75616003103,"Rüte",69.9,65.2,57.1
75616003104,"Schlatt-Haslen",66.9,70,54.3
75616003105,"Schwende",68.3,65,57.2
75616003111,"Oberegg",66.2,60.8,53.5
75616009160,"AI-Ausland-CH",39.3,49,43.5
75617009170,"SG-Ausland-CH",47,38.1,41.2
75617213201,"Häggenschwil",58.2,56.6,52.1
75617213202,"Muolen",59.9,59.6,50.8
75617213203,"St. Gallen",44,40.5,29.1
75617213204,"Wittenbach",59.2,56.5,44.7
75617213212,"Eggersriet",52.1,53.9,43.6
75617213441,"Andwil (SG)",61.3,51.2,47.7
75617213442,"Gaiserwald",56.6,51.5,43
75617213443,"Gossau (SG)",62.4,56.9,48.3
75617213444,"Waldkirch",65.8,67.4,56.5
75617223211,"Berg (SG)",60.8,57.4,46.4
75617223213,"Goldach",61.9,55.7,44.9
75617223214,"Mörschwil",53.7,49.3,40.1
75617223215,"Rorschach",54.3,48.4,35.9
75617223216,"Rorschacherberg",60.7,58.3,46.3
75617223217,"Steinach",60.5,57.7,45.4
75617223218,"Tübach",50.9,50.1,42.2
75617223219,"Untereggen",61.9,59.2,45.5
75617223237,"Thal",66.5,61.7,53.3
75617233231,"Au (SG)",64.6,60.6,50.9
75617233232,"Balgach",58,55.1,43.7
75617233233,"Berneck",58.6,54.4,53.2
75617233234,"Diepoldsau",68.7,61.4,50.4
75617233235,"Rheineck",64.6,61.2,49.1
75617233236,"St. Margrethen",68.1,64.6,56.2
75617233238,"Widnau",66.9,61.2,51.7
75617233251,"Altstätten",64.5,62.8,51.7
75617233252,"Eichberg",77,69.7,60.1
75617233253,"Marbach (SG)",66,63.3,52.3
75617233254,"Oberriet (SG)",76.5,69,62.9
75617233255,"Rebstein",64.5,63.9,51.8
75617233256,"Rüthi (SG)",73.6,70.7,58.4
75617243271,"Buchs (SG)",59.3,55.2,43.7
75617243272,"Gams",61.9,59.4,50.2
75617243273,"Grabs",58.2,55.1,45.4
75617243274,"Sennwald",68.3,65.6,55.8
75617243275,"Sevelen",62.9,60.5,51.8
75617243276,"Wartau",65.1,61.2,49.1
75617253291,"Bad Ragaz",61.1,55.1,45
75617253292,"Flums",76.9,70.9,62.6
75617253293,"Mels",69.5,64.3,57.6
75617253294,"Pfäfers",63.8,61.7,53.1
75617253295,"Quarten",74.4,64.6,58.1
75617253296,"Sargans",57.4,54.1,44.5
75617253297,"Vilters-Wangs",66.4,61.6,50.3
75617253298,"Walenstadt",62,58.4,48.6
75617263311,"Amden",64,63.6,54.3
75617263312,"Benken (SG)",73.3,68.7,61
75617263313,"Kaltbrunn",68.6,66,57.2
